epoch,train_loss,val_loss,val_dice,val_iou
135.0,1.2751,1.4397,0.8816,0.8131
136.0,1.2781,1.435,0.8829,0.8155
137.0,1.2735,1.4466,0.8787,0.8105
138.0,1.2744,1.4402,0.8806,0.8124
139.0,1.2749,1.4393,0.882,0.8137
140.0,1.2722,1.4419,0.881,0.8127
141.0,1.275,1.429,0.8856,0.8187
142.0,1.2674,1.4373,0.8821,0.8148
143.0,1.2734,1.4448,0.8799,0.8126
144.0,1.2725,1.4455,0.8791,0.8116
145.0,1.2753,1.4357,0.8829,0.8148
146.0,1.2735,1.4396,0.8813,0.8126
147.0,1.2685,1.4386,0.8812,0.8128
148.0,1.2669,1.4377,0.8826,0.8154
149.0,1.2613,1.4312,0.8844,0.8169
150.0,1.2655,1.4317,0.884,0.8172
151.0,1.2656,1.4392,0.8817,0.8132
152.0,1.2676,1.4298,0.8855,0.8183
153.0,1.2657,1.4329,0.8854,0.8174
154.0,1.2715,1.4357,0.8834,0.8147
155.0,1.2657,1.442,0.8811,0.811
156.0,1.2615,1.4339,0.8843,0.8161
157.0,1.2649,1.4434,0.8796,0.8104
158.0,1.2635,1.4382,0.8822,0.8149
159.0,1.2666,1.4344,0.8832,0.8153
160.0,1.2662,1.4488,0.8777,0.8091
161.0,1.2581,1.4451,0.879,0.811
162.0,1.2624,1.432,0.8841,0.8169
163.0,1.2701,1.4272,0.8858,0.8187
164.0,1.2623,1.4308,0.8847,0.8176
165.0,1.2629,1.4341,0.8833,0.816
166.0,1.2623,1.4475,0.8783,0.8091
167.0,1.2614,1.4386,0.882,0.8154
168.0,1.2639,1.4481,0.879,0.8091
169.0,1.2575,1.4323,0.8843,0.8179
170.0,1.2595,1.435,0.8834,0.8163
171.0,1.2615,1.4345,0.8832,0.8152
172.0,1.2633,1.4367,0.883,0.8154
173.0,1.257,1.4304,0.8849,0.8171
174.0,1.2578,1.4333,0.8835,0.8163
175.0,1.2585,1.4295,0.8853,0.8182
176.0,1.2586,1.4276,0.886,0.8192
177.0,1.258,1.4398,0.8813,0.8125
178.0,1.2572,1.4306,0.8845,0.8174
179.0,1.2575,1.4399,0.8806,0.813
180.0,1.2582,1.4331,0.8838,0.8169
181.0,1.2565,1.4294,0.8851,0.8186
182.0,1.2614,1.4398,0.8807,0.8128
183.0,1.2582,1.4329,0.8837,0.8169
184.0,1.2562,1.4309,0.8849,0.8181
185.0,1.2568,1.4295,0.8853,0.8195
186.0,1.2595,1.4256,0.8861,0.8206
187.0,1.2521,1.4314,0.8839,0.8168
188.0,1.2518,1.4252,0.8864,0.8195
189.0,1.2562,1.4242,0.8866,0.8204
190.0,1.2515,1.4257,0.8865,0.8208
191.0,1.2524,1.4293,0.8849,0.8175
192.0,1.2566,1.4234,0.8874,0.8203
193.0,1.255,1.4325,0.8835,0.817
194.0,1.2593,1.4281,0.8853,0.8191
195.0,1.2527,1.4248,0.8867,0.8199
196.0,1.2523,1.4208,0.8886,0.8223
197.0,1.2567,1.4206,0.8887,0.8228
198.0,1.2547,1.4238,0.8869,0.8212
199.0,1.2554,1.4299,0.8846,0.8186
200.0,1.2521,1.4303,0.8843,0.8182
201.0,1.2513,1.432,0.884,0.8179
202.0,1.2556,1.4255,0.8861,0.8199
203.0,1.2546,1.4323,0.8838,0.8171
204.0,1.2496,1.4323,0.8836,0.817
205.0,1.2505,1.4271,0.8862,0.8193
206.0,1.2507,1.4287,0.8855,0.8184
207.0,1.2512,1.4303,0.8848,0.8176
208.0,1.2508,1.426,0.8862,0.8197
209.0,1.2511,1.4281,0.8857,0.8193
210.0,1.2523,1.4268,0.8863,0.8204
211.0,1.2513,1.4243,0.8873,0.8209
212.0,1.25,1.4244,0.8871,0.8212
213.0,1.252,1.4269,0.8856,0.8189
214.0,1.2529,1.4253,0.8866,0.8201
215.0,1.2514,1.4248,0.8868,0.8209
216.0,1.2502,1.4279,0.8857,0.8189
217.0,1.2515,1.4292,0.8851,0.8181
218.0,1.2521,1.4312,0.8841,0.8172
219.0,1.2485,1.4306,0.8843,0.8177
220.0,1.2471,1.4293,0.8847,0.8184
221.0,1.2467,1.4295,0.8846,0.8182
222.0,1.2466,1.427,0.8857,0.8192
223.0,1.2509,1.4252,0.8866,0.8201
224.0,1.2482,1.4323,0.8839,0.8167
225.0,1.2484,1.4305,0.8847,0.8174
226.0,1.248,1.4252,0.8865,0.8202
227.0,1.2508,1.4271,0.8858,0.8199
228.0,1.2466,1.4295,0.8848,0.8181
229.0,1.2451,1.428,0.8854,0.8191
230.0,1.2495,1.4308,0.8843,0.8175
231.0,1.2542,1.4315,0.8841,0.8177
232.0,1.2484,1.4291,0.885,0.8188
233.0,1.2516,1.4282,0.8853,0.8194
234.0,1.2511,1.429,0.885,0.8191
235.0,1.2507,1.4292,0.8849,0.819
236.0,1.2502,1.4286,0.8851,0.8191
237.0,1.2532,1.4282,0.8853,0.8193
238.0,1.251,1.4318,0.8843,0.8173
239.0,1.2506,1.4283,0.8853,0.8188
240.0,1.2496,1.4302,0.8847,0.8178
241.0,1.2466,1.4308,0.8846,0.8177
242.0,1.2464,1.4278,0.8857,0.8191
