sample_id,dice,iou,precision,recall,specificity,accuracy,f2,mae,boundary_f1,foreground_fraction,occupancy_mae_stage2,occupancy_mae_stage1,solver_active_fraction_stage2
cju2uzabhs6er0993x3aaf87p,0.5207705497741699,0.35205531120300293,0.9516128897666931,0.35847237706184387,0.9979463219642639,0.9331933856010437,0.409523606300354,0.06677711755037308,0.49892929196357727,0.10125976800918579,1.9157800346114584e-10,2.5911986445414925e-10,0.004609374795109034
cju2rlqdnoz9k0993cpjae3x0,0.9026505947113037,0.8225735425949097,0.9832751750946045,0.8342458009719849,0.9969940781593323,0.9685449004173279,0.8603246808052063,0.031352829188108444,0.5722439289093018,0.1748046875,5.01809815922627e-10,7.271580559908841e-10,0.011796874925494194
cju85qefyln6v0850szeb9byi,0.94312584400177,0.8923728466033936,0.9902108907699585,0.9003153443336487,0.9944511651992798,0.958300769329071,0.9169645309448242,0.04177471622824669,0.7192868590354919,0.38402342796325684,5.325896390573348e-10,6.699056864789554e-10,0.011250000447034836
cju0s690hkp960855tjuaqvv0,0.9630723595619202,0.9287749528884888,0.9712892770767212,0.9549933671951294,0.9989254474639893,0.997314453125,0.9582086205482483,0.002723673591390252,0.9328557848930359,0.03666992112994194,1.4701936890126888e-10,2.0701347580587282e-10,0.0026562500279396772
cju42dwedlmk60871jbgu4ehi,0.9817821383476257,0.9642162322998047,0.9771776795387268,0.9864302277565002,0.9955487847328186,0.9940722584724426,0.9845657348632812,0.0060262056067585945,0.97553551197052,0.1619238257408142,2.758160366767015e-10,3.21112914036803e-10,0.004804687574505806
