epoch,learning_rate,train_loss,val_loss,val_dice,val_iou,val_mae,val_boundary_f1
1,5e-05,3.1867111897468567,2.8566496849060057,0.3914057895541191,0.2561453854478895,0.337837595641613,0.0723097782209515
2,0.00014,2.7125890707969664,2.314124040603638,0.5957750889472664,0.4491964976442977,0.1678953107073903,0.1393365960428491
3,0.0002299999999999,2.2943438827991485,2.1037682819366457,0.6660123638808727,0.5252658484876156,0.1071017029508948,0.2324662758503109
4,0.0003199999999999,2.096984956264496,2.0631929302215575,0.665653864890337,0.5379726932570338,0.1023184093646705,0.3132599423639476
5,0.00041,1.9543516325950625,1.945160083770752,0.7029889410734177,0.579702702909708,0.0935582708194851,0.3634277332574129
6,0.0005,1.8329178738594056,1.8482730197906496,0.7294608634710312,0.613940362855792,0.0881402925099246,0.4227717354148626
7,0.0004999794882752,1.7653544342517853,1.7876913738250733,0.75269147336483,0.638385076969862,0.0818483324977569,0.4563175141066313
8,0.0004999179564735,1.697271158695221,1.7169119930267334,0.7804044724814594,0.6709028547070921,0.0750508252438157,0.4492669336684048
9,0.0004998154147121,1.6697574734687806,1.7033724784851074,0.7848678743839264,0.6780705215036869,0.0719292651372961,0.4665545389428734
10,0.0004996718798512,1.657900253534317,1.6729601860046386,0.7964113274216652,0.6970077604055405,0.0687742284545674,0.5073364526592195
11,0.0004994873754912,1.623981122970581,1.6778237104415894,0.7906694075465203,0.6961624826490879,0.0691956956149078,0.5177954622078687
12,0.0004992619319687,1.6053724205493929,1.654176020622253,0.8021065639331937,0.7044207535870374,0.0673585626529529,0.5002054790593684
13,0.0004989955863518,1.6016840600967408,1.617960901260376,0.8175326520204544,0.7268782147765159,0.0633170667872764,0.542529760748148
14,0.0004986883824337,1.5740827095508576,1.5978232765197753,0.8256631026737159,0.7346707266578596,0.0600430451729334,0.5361420387215913
15,0.0004983403707257,1.5787601697444915,1.57845974445343,0.8319145208597183,0.7412292575091124,0.0589763465989381,0.5399229990690947
16,0.0004979516084488,1.5446108984947204,1.5627102422714234,0.838927820622921,0.7516957314684987,0.0567102465685457,0.5396782960928976
17,0.0004975221595244,1.53405157327652,1.561581768989563,0.8393544502556324,0.7552416083961725,0.0562130990554578,0.5660593042522669
18,0.0004970520945636,1.5321115589141845,1.5721040201187133,0.8350198415666819,0.7494376553222537,0.0569561667926609,0.5544764269888401
19,0.0004965414908556,1.5261261808872222,1.5824802970886231,0.8282834158092737,0.7442231158912181,0.0580824356363154,0.5636911391466856
20,0.0004959904323553,1.5133481919765472,1.557875280380249,0.8386227606236935,0.7600500640273095,0.056734845766332,0.5614917182177305
21,0.0004953990096692,1.497253156900406,1.5418039226531983,0.8458842004090548,0.7662443562969565,0.0552740190643817,0.5731840878725052
22,0.0004947673200406,1.4927554154396057,1.5465565872192384,0.8432991297543049,0.7635121918469667,0.0561010608030483,0.5798201827704906
23,0.0004940954673335,1.4868130588531494,1.5334145832061767,0.8483169665932655,0.7696111740171909,0.0535825013485737,0.5652005980908871
24,0.0004933835620158,1.4752400040626523,1.5664759731292726,0.8351605017483235,0.752691027149558,0.0582577562052756,0.5826468397676945
25,0.0004926317211408,1.4676413130760193,1.5408424758911132,0.8438358068466186,0.7652253491431474,0.0545109885791316,0.5792881681025028
26,0.0004918400683282,1.457352123260498,1.5323328638076783,0.8491211626678705,0.7708785196393728,0.0549226299859583,0.5858613747358322
27,0.0004910087337436,1.46677512049675,1.507288966178894,0.8572148180007935,0.7832786963135004,0.0502239218330942,0.6060962253808975
28,0.0004901378540772,1.4550262713432311,1.4934766864776612,0.8634363798052073,0.7868760426715017,0.0486171698197722,0.5929040985181928
29,0.0004892275725214,1.4605226528644562,1.5437448120117188,0.8431769478321075,0.767421937212348,0.0544895799970254,0.5904045360162854
30,0.0004882780387471,1.4534254705905914,1.5121417427062989,0.8568573196232319,0.7796148092672229,0.0522087871143594,0.5943326954171062
31,0.0004872894088791,1.4459516596794129,1.5039292287826538,0.8584342448413372,0.7855447323247791,0.05113681754563,0.6048641642509028
32,0.0004862618454706,1.4327864146232605,1.5337970352172852,0.8461128115653992,0.7700097068399191,0.054465412448626,0.601367501616478
33,0.0004851955174763,1.428738592863083,1.495061674118042,0.8637015003710985,0.7890265453234315,0.0510900606377981,0.5922672533604783
34,0.0004840906002246,1.4419345116615296,1.5030785131454467,0.8581468078494072,0.7853290844708681,0.0508895843056961,0.6011069434136153
35,0.0004829472753889,1.4220850598812105,1.497456169128418,0.8615509313344956,0.788890598192811,0.0495884947711601,0.6051229281292763
36,0.0004817657309578,1.423417761325836,1.5009456586837768,0.8594186307489872,0.7870129559934139,0.0509657858870923,0.6096677192300558
37,0.0004805461612039,1.4290194082260133,1.5124249982833862,0.8532127706706524,0.7815571223199368,0.051692285167519,0.6162184476852417
38,0.000479288766652,1.4113475823402404,1.4875266456604004,0.8630293339490891,0.790196742080152,0.0476921084919013,0.604861653111875
39,0.0004779937540464,1.4089955031871797,1.4982172012329102,0.8598471923172474,0.7865319567918777,0.0481672449130564,0.6180559599399567
40,0.0004766613363164,1.4082466685771942,1.491502046585083,0.861596564501524,0.7902732329815626,0.0478375176573172,0.6199196610599756
41,0.0004752917325416,1.4070306730270383,1.4915402412414551,0.8619551455974579,0.7912144210189581,0.0475907729519531,0.6236308726668358
42,0.000473885167916,1.3950466203689575,1.4922897815704346,0.8621821784228086,0.7883703788742423,0.0494833688670769,0.6137374168727547
43,0.0004724418737105,1.4119126605987549,1.4833085012435914,0.8664138827472925,0.7938091819360852,0.0480592180998064,0.6163327166438103
44,0.0004709620872356,1.398516631126404,1.4881887388229371,0.8653166149556637,0.7917152793705463,0.0465965078189037,0.6094270272552967
45,0.0004694460518014,1.390625801086426,1.4907215595245362,0.8627004615962506,0.7893809559941292,0.0479084678646177,0.6201463656127453
46,0.0004678940166787,1.3862858080863951,1.4814806699752807,0.8662749154865742,0.79282092012465,0.0466405865107662,0.6110418231040239
47,0.0004663062370572,1.3873358428478242,1.4700245714187623,0.870253693163395,0.7980870159342885,0.0464810178172774,0.6232034673541784
48,0.0004646829740036,1.3910243368148805,1.4965196990966796,0.8602064903080463,0.7849019433557988,0.0503110435442067,0.6181185761466622
49,0.0004630244944193,1.3860434484481812,1.4849241161346436,0.8648062734305859,0.7923815912008285,0.0472556448052637,0.6241967529058456
50,0.0004613310709959,1.386659667491913,1.479580430984497,0.8663241340965032,0.7934676196426154,0.048746986342594,0.6127078134194016
51,0.0004596029821705,1.373220522403717,1.4681325674057006,0.8701327762007713,0.7979067020118237,0.0461814881837926,0.619298586435616
52,0.00045784051208,1.3759556365013124,1.4834912490844727,0.8648288874328136,0.7947256410866976,0.0484616403188556,0.6221481019444763
53,0.0004560439505144,1.3736063492298127,1.4819259595870973,0.8656877334415912,0.7934314286336303,0.0484356177854351,0.6225451599294319
54,0.0004542135928692,1.3718899595737457,1.4692753648757937,0.871299556940794,0.8015741131454707,0.046080107493326,0.6416202718019486
55,0.0004523497400965,1.37189310669899,1.4686616134643555,0.870440353602171,0.7989112994819879,0.0463740284088999,0.629028460085392
56,0.000450452698656,1.3589742624759673,1.4664533519744871,0.8718997567892075,0.8019730468839407,0.0451601014228072,0.6233749584108591
57,0.0004485227804643,1.3695496940612792,1.4976265907287598,0.8589238794147969,0.7851050405204296,0.0496156792482361,0.629017270207405
58,0.0004465603028435,1.3713427245616914,1.4717987394332883,0.8685233117640019,0.7971062844991684,0.0456612121046055,0.6426349757611751
59,0.0004445655884695,1.3690132117271423,1.4780973768234251,0.8667047502100468,0.7953929647803306,0.0468890714109875,0.6222099034115672
60,0.0004425389653184,1.3567447662353516,1.462467265129089,0.8731865447759628,0.8044809475541115,0.0443998361984267,0.6340959693491459
61,0.000440480766613,1.3546319687366486,1.4793459129333495,0.8663899813592434,0.7955844265967608,0.0460992822656407,0.6359669528901577
62,0.0004383913307679,1.3540449118614195,1.47162823677063,0.8693086275458336,0.799124836474657,0.0458644391933921,0.6374072204530239
63,0.0004362710013334,1.343848205804825,1.4603435230255126,0.8746149298548699,0.8031924569606781,0.0457146634766832,0.6341036465764046
64,0.0004341201269398,1.3539337635040285,1.460166783332825,0.8739843222498894,0.803822239562869,0.0435472256923094,0.6413402876257897
65,0.0004319390612396,1.350699325799942,1.4834899282455445,0.864642179608345,0.7930530735105276,0.0477547502913512,0.6372691810131073
66,0.0004297281628493,1.3376109528541564,1.4698909997940064,0.870360001027584,0.7980019569396972,0.046286007752642,0.638270742893219
67,0.0004274877952908,1.3418882703781128,1.4959805154800414,0.8593736660480499,0.7856316887587309,0.049849008754827,0.6316384267061949
68,0.000425218326931,1.3398073256015777,1.476409420967102,0.8690112820267677,0.7970475529879332,0.0459422863833606,0.6234933713078499
69,0.0004229201309222,1.344248229265213,1.4846757078170776,0.8635480858385562,0.7917122381180525,0.0477318571088835,0.6401652266085148
70,0.0004205935851396,1.3425659656524658,1.4857010650634763,0.8631611762940884,0.7904072234407067,0.0486221921280957,0.639835918545723
71,0.0004182390721201,1.3348539197444915,1.483331093788147,0.8641847407817841,0.7932184904068709,0.0487551096756942,0.6458608427643776
72,0.0004158569789991,1.335286989212036,1.475687928199768,0.8686335420608521,0.7976269073784351,0.0471391608472913,0.6418663060665131
73,0.0004134476974464,1.3348713266849517,1.488202600479126,0.8629741576313973,0.7897476045042277,0.0484881538641639,0.6335373443365097
74,0.0004110116236026,1.3418702960014344,1.4604476881027222,0.8742833321541548,0.8054477295279503,0.0447153518768027,0.6499605865776539
75,0.0004085491580133,1.3367393398284912,1.4774669790267945,0.8668266034126282,0.7954246170818806,0.0462923449464142,0.6359578138589859
76,0.0004060607055637,1.333472511768341,1.4795603132247923,0.866864787042141,0.7936369799077511,0.0475428465264849,0.6402051839232444
77,0.0004035466754117,1.3377151596546173,1.4551922512054445,0.8757822254300117,0.8061457762867212,0.0447829790937248,0.651097300350666
78,0.0004010074809207,1.3331160271167757,1.4646234655380248,0.8716339404881001,0.8017123743891716,0.0448807315994054,0.6442289455235004
79,0.0003984435395919,1.3299020361900329,1.4743174648284911,0.8682482390105725,0.7966906462609767,0.0461628046026453,0.633936169743538
80,0.0003958552729953,1.3259520208835602,1.4713718700408935,0.8691953361034394,0.7976565278321505,0.0461295501748099,0.6372802832722664
81,0.0003932431067004,1.325890531539917,1.4754232597351074,0.867196301072836,0.7950953941047192,0.0485404379980173,0.6471149691939354
82,0.0003906074702066,1.3274227321147918,1.4659688329696656,0.8713331131637096,0.7998704010248184,0.0458817788714077,0.6508401156961918
83,0.0003879487968722,1.324138162136078,1.4614078855514527,0.872663628757,0.8021620198339224,0.0452871366788167,0.6544609664380551
84,0.0003852675238433,1.3251754212379456,1.4679017210006713,0.8698533062636852,0.7981129355728627,0.0458125333185307,0.6457503399252892
85,0.0003825640919819,1.323440283536911,1.4733188676834106,0.8677466171979904,0.7972011987864971,0.0473101727059111,0.6523456770181656
86,0.0003798389457934,1.3207077419757842,1.4669121742248534,0.8713427446782589,0.7980456674098968,0.0464271332207135,0.6244647910818457
87,0.0003770925333536,1.3159731471538545,1.4575959539413452,0.8747812550514936,0.804725568369031,0.0449737721239216,0.6455735743045807
88,0.0003743253062347,1.3139018094539645,1.4568890953063964,0.8751968324929476,0.8015467194840312,0.0439447350776754,0.6245930086448789
89,0.0003715377194317,1.3181442868709563,1.4515098476409911,0.8762162964046002,0.8053067930787802,0.0443353239179123,0.6525450785458088
90,0.000368730231287,1.3144727003574372,1.4659948205947877,0.8721443761885166,0.8002605895698071,0.0463929202081635,0.6362639319896698
91,0.000365903303415,1.314567068815231,1.45714834690094,0.8755441541224718,0.8051859630644321,0.0445340738235972,0.6427499371767044
92,0.0003630574006269,1.3136791360378266,1.4655036926269531,0.8716829501092433,0.7998657219856977,0.0458984489995054,0.640776917040348
