sample_id,dice,iou,precision,recall,specificity,accuracy,f2,mae,boundary_f1,foreground_fraction,occupancy_mae_stage2,occupancy_mae_stage1,solver_active_fraction_stage2
cju7ae7bq1f820987toc8si1d,0.9350175857543945,0.8779652714729309,0.9167518019676208,0.9540260434150696,0.9966949224472046,0.9951269626617432,0.9463306665420532,0.005019616335630417,0.7896052598953247,0.036748047918081284,1.3570085333203252e-10,2.325047238072031e-10,0.0036328125279396772
cju2s2527pfyr0993l3h1149a,0.929934024810791,0.8690436482429504,0.945955753326416,0.9144459962844849,0.9985032081604004,0.9961621165275574,0.9205788969993591,0.003942109178751707,0.7681513428688049,0.027851562947034836,8.141681079321117e-11,1.4786852298165343e-10,0.0016796875279396772
cju34c1xfyz920993itxkkfad,0.8142222166061401,0.686656653881073,0.8492315411567688,0.7819851040840149,0.9518831372261047,0.908154308795929,0.7945687174797058,0.09206844121217728,0.312134712934494,0.2573828101158142,7.259394751990556e-10,9.921605759188878e-10,0.020859375596046448
cju353d1eda8c07992afde611,0.9256253242492676,0.8615480065345764,0.9637689590454102,0.8903860449790955,0.996636152267456,0.9869335889816284,0.9041548371315002,0.013039921410381794,0.6587201952934265,0.09131836146116257,2.822190536821978e-10,4.468698744375388e-10,0.0062500000931322575
cju2oi8sq0i2y0801mektzvw8,0.9218292832374573,0.8549938201904297,0.9731249213218689,0.8756707310676575,0.9215304255485535,0.886474609375,0.8935680985450745,0.11342693120241165,0.49937984347343445,0.7644140720367432,1.1278540323900188e-09,1.594026355355993e-09,0.03128906339406967
cju34uhepd3dd0799hs8782ad,0.9167767763137817,0.8463414907455444,0.8810300827026367,0.9555467963218689,0.9967153072357178,0.9956933856010437,0.9396518468856812,0.004655692260712385,0.7220439910888672,0.024824218824505806,1.6848027140081712e-10,2.4006915899654757e-10,0.006523437332361937
cju87nkyrnb970801q84m47yt,0.9261633157730103,0.8624805808067322,0.9058200120925903,0.9474413394927979,0.990066647529602,0.9861621260643005,0.9388138651847839,0.013926783576607704,0.6453559994697571,0.09160156548023224,3.1251759513573063e-10,4.052132518417295e-10,0.0052734375931322575
cju6xlygpw7bs0818n691jsq4,0.9537781476974487,0.9116404056549072,0.940518319606781,0.9674171805381775,0.9723309278488159,0.9708007574081421,0.9619150161743164,0.02941352315247059,0.6051633954048157,0.3114062547683716,8.657255468058622e-10,1.3082275263087695e-09,0.029960937798023224
cju42dwedlmk60871jbgu4ehi,0.9817821383476257,0.9642162322998047,0.9771776795387268,0.9864302277565002,0.9955487847328186,0.9940722584724426,0.9845657348632812,0.0060262056067585945,0.97553551197052,0.1619238257408142,2.758160366767015e-10,3.21112914036803e-10,0.004804687574505806
cju8c9akjsdjj0850s67uzlxq,0.9808800220489502,0.962477445602417,0.9737908244132996,0.9880731701850891,0.9963329434394836,0.9953320026397705,0.9851832985877991,0.004701712168753147,0.9751108884811401,0.12118163704872131,2.448659608411674e-10,2.4840379753143793e-10,0.003828125074505806
cju8c2rqzs5t80850d0zky5dy,0.7796173691749573,0.6388302445411682,0.8614315986633301,0.7119957208633423,0.9482288956642151,0.8746874928474426,0.7375861406326294,0.12514358758926392,0.43995046615600586,0.3113085925579071,1.3623534522722025e-09,1.969318041972201e-09,0.04847656190395355
cju1ffnjn6ctm08015perkg37,0.9146308898925781,0.8426910638809204,0.9587306380271912,0.8744096755981445,0.9900633096694946,0.9659082293510437,0.8900660872459412,0.03608977794647217,0.525554895401001,0.20885741710662842,1.4151813054752438e-09,2.138862642553363e-09,0.040546875447034836
cju88z8bson4h0871nnd7fdxo,0.9785357117652893,0.9579734802246094,0.9818633198738098,0.9752305150032043,0.9981949925422668,0.9961035251617432,0.9765499234199524,0.003980270586907864,0.9881662130355835,0.09107422083616257,1.7909536353943878e-10,2.4107338347789664e-10,0.003554687602445483
cjyzk8qieoboa0848ogj51wwm,0.8971390724182129,0.8134652376174927,0.9865399599075317,0.822594940662384,0.9899126887321472,0.9107128977775574,0.8508749604225159,0.08646013587713242,0.6038253307342529,0.47334960103034973,9.6651187053709e-10,1.1568249691507049e-09,0.04917968809604645
cju88k75inzyb0850ccv5x3vk,0.8187882900238037,0.6931766271591187,0.7413877844810486,0.914233922958374,0.8978921175003052,0.90185546875,0.8735044002532959,0.09863130748271942,0.3594890534877777,0.24252930283546448,1.3112742003329458e-09,1.686679906853783e-09,0.046367187052965164
cju1dg44i4z3w0801nyz4p6zf,0.8372827768325806,0.720108687877655,0.817060649394989,0.8585312962532043,0.9982458353042603,0.9969823956489563,0.8499037623405457,0.003034285269677639,0.8202245235443115,0.009042968973517418,9.651270754806873e-11,6.542349995086738e-11,0.002851562574505806
cju2zpw4q9vzr0801p0lysjdl,0.9594573974609375,0.9220740795135498,0.9646621346473694,0.9543085098266602,0.9988501071929932,0.9974316358566284,0.9563614130020142,0.0025821346789598465,0.9787070751190186,0.03184570372104645,9.739629242000447e-11,1.3381348806795756e-10,0.001914062537252903
cju7fbndk2sl608015ravktum,0.9482957720756531,0.901675283908844,0.99122554063797,0.9089301228523254,0.9990009665489197,0.9890527129173279,0.9242775440216064,0.010988123714923859,0.6954591870307922,0.11044921725988388,3.1793523369572085e-10,3.997099873309651e-10,0.007148437667638063
cju2tpfa5uyx408359datxqqj,0.8814592957496643,0.7880439758300781,0.9731863141059875,0.8055341839790344,0.9974889159202576,0.977978527545929,0.8342786431312561,0.0223135594278574,0.436786025762558,0.10164062678813934,6.969274046753071e-10,1.0327230182127778e-09,0.015312500298023224
cju77re6fz5bb0817vp9redjg,0.6549080610275269,0.48688724637031555,0.4876076877117157,0.9969745874404907,0.8959042429924011,0.9050390720367432,0.8246787190437317,0.0948498472571373,0.28509262204170227,0.09038086235523224,1.0755440982279652e-09,1.4635713752042534e-09,0.03519531339406967
cju1871y11d6r0799k6cw4yze,0.9801113605499268,0.9609984159469604,0.9753008484840393,0.9849696159362793,0.9955050945281982,0.993896484375,0.983020544052124,0.006157255731523037,0.8878270983695984,0.15268555283546448,2.190013725922313e-10,2.214304850589599e-10,0.0044531249441206455
cju1cqc7n4gpy0855jt246k68,0.9485140442848206,0.9020700454711914,0.9355904459953308,0.961799681186676,0.997633159160614,0.9963964819908142,0.9564409852027893,0.003636541310697794,0.8531097173690796,0.03451171889901161,7.227187598379814e-11,8.249474020560754e-11,0.0015625000232830644
cju7cq6su27qv075574dir0r3,0.8517780900001526,0.7418235540390015,0.9847118854522705,0.7504668235778809,0.9982473850250244,0.9658496379852295,0.7879548072814941,0.033914703875780106,0.5091504454612732,0.13075195252895355,6.642217886820845e-10,1.2589436160226342e-09,0.017304686829447746
cju2r6mt2om21099352pny5gw,0.9713358879089355,0.9442692399024963,0.9548537135124207,0.9883970618247986,0.9795227646827698,0.982226550579071,0.9815011620521545,0.018602564930915833,0.7111828923225403,0.30467772483825684,6.137186314703058e-10,6.767117977091175e-10,0.0224609375
cju5wkonqlrl409877y8zvnub,0.9087013602256775,0.8326789140701294,0.8455442786216736,0.9820550084114075,0.9635947346687317,0.9667089581489563,0.9513368606567383,0.033289723098278046,0.7535648345947266,0.168701171875,3.7618796966398804e-10,4.164034117515314e-10,0.006679687649011612
cju34ouumcznz07996gg1xq7v,0.9291264414787292,0.8676341772079468,0.8755221366882324,0.9897227883338928,0.9699878096580505,0.9734570384025574,0.9645599126815796,0.0265649501234293,0.5866907238960266,0.17579101026058197,4.828153987723738e-10,6.570551880358266e-10,0.008710937574505806
cju88t4fvokxf07558ymyh281,0.9629560708999634,0.9285586476325989,0.9688025116920471,0.9571797847747803,0.998278021812439,0.9961035251617432,0.959481954574585,0.003949333913624287,0.8874669671058655,0.052910156548023224,1.2007907168598564e-10,1.4001298731525225e-10,0.0024999999441206455
cju8apjewqrk00801k5d71gky,0.9759535193443298,0.9530363082885742,0.9761491417884827,0.9757579565048218,0.9959165453910828,0.992968738079071,0.9758361577987671,0.007005244493484497,0.8924169540405273,0.14623047411441803,1.3407647214691565e-10,1.6813124503745058e-10,0.0026171875651925802
cju6vta3kvazg0817qbeppjtm,0.9787251949310303,0.9583367109298706,0.9810715317726135,0.9763900637626648,0.9942017793655396,0.9900097846984863,0.9773227572441101,0.010009219869971275,0.8381416201591492,0.2353515625,3.3920333208925513e-10,3.8366848587045865e-10,0.0053906249813735485
cju6wuojavt740818b5qcv3iw,0.973437488079071,0.9482495784759521,0.9785863161087036,0.9683424830436707,0.9921783208847046,0.9857519268989563,0.9703741073608398,0.014795329421758652,0.7942839860916138,0.26960936188697815,5.090282639841348e-10,8.002545848206921e-10,0.014218750409781933
cju85qefyln6v0850szeb9byi,0.94312584400177,0.8923728466033936,0.9902108907699585,0.9003153443336487,0.9944511651992798,0.958300769329071,0.9169645309448242,0.04177471622824669,0.7192868590354919,0.38402342796325684,5.325896390573348e-10,6.699056864789554e-10,0.011250000447034836
cju2zxja9w1eh09933609ho9z,0.9578947424888611,0.9191918969154358,0.9283458590507507,0.9893864989280701,0.9970061779022217,0.9967187643051147,0.9765445590019226,0.003294013673439622,0.9087654948234558,0.037724610418081284,8.524365241457943e-11,6.318184864184673e-11,0.0013281250139698386
cju5thdbrjp1108715xdfx356,0.940793514251709,0.8882059454917908,0.9318823218345642,0.9498767256736755,0.9983094334602356,0.9971582293510437,0.9462224841117859,0.0028674262575805187,0.8593720197677612,0.023769531399011612,5.7182068108341255e-11,6.831785831495907e-11,0.0006640625069849193
cju1dfeupuzlw0835gnxip369,0.9706301093101501,0.9429362416267395,0.9620814919471741,0.9793320298194885,0.99703449010849,0.9957714676856995,0.9758326411247253,0.004293058533221483,0.8926668763160706,0.07134765386581421,1.984832020962557e-10,2.1454681087273997e-10,0.00390625
cju35fxqyzt5p0993vusm54qz,0.9566506743431091,0.9169034957885742,0.9267003536224365,0.988601565361023,0.9851769208908081,0.9857226610183716,0.9755684733390808,0.01478623878210783,0.8218315243721008,0.15935546159744263,4.1705169873118564e-10,6.058757939797488e-10,0.010312500409781933
cju2hdr06v2bq0799mbm3bks1,0.7560113072395325,0.6077316403388977,0.9685477614402771,0.6199668645858765,0.9937899112701416,0.9056640863418579,0.6680534482002258,0.09403122961521149,0.5008267164230347,0.23574218153953552,6.063244351039998e-10,9.334851780451459e-10,0.017265625298023224
cju5i5oh2efg60987ez6cpf72,0.9781822562217712,0.9572961926460266,0.9644643664360046,0.9922959208488464,0.984768807888031,0.9869824051856995,0.9866018891334534,0.013484866358339787,0.8310796022415161,0.29408204555511475,5.222740018240302e-10,6.455669887550641e-10,0.013749999925494194
cju42romflni20817etb9a0fl,0.9573948383331299,0.9182717204093933,0.9889001250267029,0.9278350472450256,0.998934268951416,0.9923340082168579,0.939437210559845,0.007999005727469921,0.7564926147460938,0.09283202886581421,3.991512953493981e-10,6.751855741171653e-10,0.010195312090218067
cju7dlk532dsh0871zvr6qz0r,0.9241293668746948,0.8589596152305603,0.9932224154472351,0.8640239834785461,0.9986571669578552,0.973681628704071,0.8871029019355774,0.026379626244306564,0.6327659487724304,0.18550781905651093,3.3532765453259117e-10,2.972141976975706e-10,0.004648437723517418
cju1819curo000988pd5xcqme,0.9612972140312195,0.9254786372184753,0.9826177954673767,0.9408822059631348,0.9979979395866394,0.9918652176856995,0.9489432573318481,0.008170397020876408,0.8086566925048828,0.10737304389476776,2.087721245880303e-10,2.892104333795942e-10,0.0032421874348074198
cju84ffdzkrjn08183jh1fxmb,0.9278259873390198,0.8653688430786133,0.9187002182006836,0.937134861946106,0.9930918216705322,0.9887890815734863,0.9333890080451965,0.011151671409606934,0.5996434092521667,0.07689452916383743,3.1561994684459194e-10,3.6643524325974397e-10,0.006171875167638063
cju2y8s56ymqr083541ggdsml,0.9513286352157593,0.9071751832962036,0.9764328598976135,0.9274829030036926,0.9977068305015564,0.9911816120147705,0.9368762969970703,0.008893324993550777,0.7371730208396912,0.09291992336511612,2.2469237581645984e-10,2.7681662517764494e-10,0.002968749962747097
cju5ymyd8mmdc0801ry3by1xr,0.8293063044548035,0.7083888053894043,0.7645509243011475,0.9060459733009338,0.9900583624839783,0.9871679544448853,0.8737066984176636,0.01285206526517868,0.6242280602455139,0.034404296427965164,3.0699795483535297e-10,3.827113903565049e-10,0.004843750037252903
cju33belnbyhm0878yxl42233,0.9434419870376587,0.8929391503334045,0.9793798327445984,0.910048246383667,0.9986291527748108,0.9927148222923279,0.923117995262146,0.00737433135509491,0.8384280800819397,0.06676758080720901,2.94197222139303e-10,3.570221063231571e-10,0.0054296874441206455
cju887ftknop008177nnjt46y,0.9489712119102478,0.9028974175453186,0.9656616449356079,0.9328479170799255,0.9987537264823914,0.9963672161102295,0.9392310380935669,0.003679736750200391,0.9105225205421448,0.03621093928813934,9.070091899765487e-11,3.678066184953366e-11,0.0017187499906867743
cju34i3qvcyog0855qiejxx5w,0.8497548699378967,0.7387598156929016,0.9764934778213501,0.7521355748176575,0.9927140474319458,0.9236816167831421,0.7883622050285339,0.07528741657733917,0.6624082922935486,0.28694334626197815,7.659033962603701e-10,9.395126898681383e-10,0.03031250089406967
cju1f5x1164xv08555654c24r,0.9056166410446167,0.8275131583213806,0.976931631565094,0.8440051078796387,0.9972304701805115,0.9785351753234863,0.8676155805587769,0.021665068343281746,0.6437389850616455,0.12201172113418579,5.878864062225375e-10,8.580924859558081e-10,0.01656249910593033
